[69, 43, 72, 42, 74, 57, 11, 61, 64, 88, 45, 25, 17, 2, 80, 12, 28, 13, 23, 20, 58, 83, 6, 38, 76, 48, 19, 47, 79, 8, 85, 71, 67, 99, 70, 51, 54, 92, 81, 97, 4, 52, 98, 3, 5, 14, 22, 87, 36, 59, 0, 56, 10, 1, 30, 32, 46, 96, 50, 77, 29, 91, 9, 93, 75, 49, 21, 27, 62, 73, 78, 18, 26, 65, 35, 34, 66, 41, 37, 31]
[81, 16, 84, 30, 26, 69, 8, 46, 47, 13, 33, 68, 79, 20, 94, 75, 55, 6, 71, 4, 72, 66, 82, 73, 15, 1, 91, 45, 67, 10, 61, 5, 36, 74, 65, 41, 76, 25, 62, 83, 43, 54, 49, 86, 95, 88, 57, 60, 2, 53, 39, 31, 97, 89, 59, 98, 28, 58, 40, 90, 50, 44, 70, 63, 37, 29, 9, 77, 52, 56, 23, 12, 64, 51, 32, 11, 14, 7, 19, 34]
[75, 97, 17, 31, 35, 0, 7, 3, 68, 23, 81, 13, 95, 50, 69, 59, 78, 94, 44, 93, 91, 85, 25, 11, 38, 26, 6, 79, 73, 53, 49, 15, 76, 70, 56, 77, 99, 82, 22, 8, 27, 89, 84, 10, 92, 16, 86, 67, 74, 5, 43, 41, 37, 54, 9, 52, 28, 51, 62, 98, 33, 40, 47, 48, 90, 60, 2, 42, 96, 39, 36, 32, 83, 55, 46, 87, 64, 57, 65, 58]
[51, 64, 16, 5, 74, 87, 2, 22, 7, 96, 81, 8, 21, 59, 13, 75, 48, 26, 73, 44, 1, 53, 36, 11, 28, 54, 80, 77, 72, 42, 41, 78, 29, 61, 30, 14, 34, 92, 45, 40, 66, 47, 12, 58, 52, 25, 85, 43, 46, 62, 60, 56, 27, 98, 6, 24, 9, 70, 88, 17, 50, 0, 3, 15, 18, 39, 71, 63, 69, 99, 84, 4, 93, 32, 33, 82, 31, 94, 76, 67]
[7, 94, 86, 67, 35, 48, 36, 44, 40, 99, 6, 79, 11, 47, 61, 53, 4, 83, 3, 2, 76, 56, 18, 84, 45, 24, 69, 20, 92, 9, 90, 88, 93, 5, 91, 29, 89, 22, 49, 78, 68, 1, 0, 14, 80, 38, 52, 31, 57, 73, 32, 46, 59, 12, 97, 71, 77, 85, 70, 55, 43, 27, 16, 41, 42, 17, 19, 64, 28, 33, 51, 75, 74, 39, 81, 8, 15, 30, 34, 98]
[58, 63, 94, 20, 86, 46, 62, 36, 51, 21, 88, 98, 43, 29, 39, 7, 71, 22, 59, 85, 15, 1, 49, 52, 5, 11, 70, 77, 68, 76, 80, 60, 6, 50, 18, 83, 69, 67, 19, 95, 91, 90, 92, 74, 45, 38, 56, 37, 81, 54, 31, 35, 64, 40, 75, 53, 32, 99, 65, 34, 41, 2, 33, 27, 9, 78, 16, 26, 89, 42, 47, 25, 30, 72, 0, 55, 28, 8, 84, 66]
[26, 9, 41, 68, 62, 2, 65, 40, 39, 16, 63, 44, 70, 10, 69, 85, 15, 23, 80, 84, 94, 28, 95, 0, 19, 99, 82, 29, 22, 25, 13, 57, 36, 14, 7, 17, 46, 24, 98, 45, 76, 37, 3, 89, 11, 78, 79, 91, 32, 93, 35, 92, 72, 90, 74, 81, 60, 48, 43, 30, 58, 38, 27, 56, 33, 77, 73, 1, 50, 59, 83, 64, 49, 21, 6, 42, 55, 52, 12, 47]
[22, 47, 55, 83, 60, 79, 68, 13, 62, 49, 56, 89, 31, 86, 74, 95, 90, 43, 65, 44, 64, 25, 73, 2, 94, 35, 0, 67, 80, 93, 3, 71, 76, 84, 98, 33, 15, 10, 30, 21, 58, 45, 87, 46, 19, 20, 41, 53, 12, 81, 5, 51, 23, 78, 75, 27, 99, 82, 63, 6, 50, 26, 37, 38, 40, 4, 61, 97, 91, 96, 66, 57, 32, 1, 72, 14, 54, 92, 16, 7]
[1, 65, 54, 80, 86, 83, 4, 77, 0, 51, 78, 64, 28, 45, 3, 41, 89, 62, 70, 25, 55, 58, 8, 32, 29, 95, 35, 43, 22, 42, 67, 57, 88, 75, 21, 2, 92, 31, 90, 14, 60, 66, 71, 49, 18, 37, 24, 44, 26, 36, 69, 82, 13, 9, 91, 93, 98, 79, 47, 7, 76, 10, 96, 56, 72, 40, 6, 33, 27, 11, 15, 16, 34, 61, 85, 63, 52, 97, 73, 30]
[51, 68, 82, 43, 26, 0, 29, 65, 81, 48, 85, 5, 41, 71, 28, 2, 77, 59, 52, 72, 34, 11, 80, 76, 66, 30, 53, 33, 31, 46, 98, 83, 64, 1, 7, 55, 96, 22, 54, 63, 6, 37, 10, 84, 20, 74, 58, 79, 27, 14, 60, 18, 19, 38, 57, 50, 95, 62, 23, 24, 86, 91, 16, 36, 56, 45, 78, 47, 69, 49, 61, 12, 70, 93, 97, 42, 67, 21, 92, 39]
[99, 27, 77, 79, 57, 9, 95, 93, 56, 39, 52, 75, 24, 4, 97, 76, 71, 36, 61, 83, 22, 78, 38, 67, 40, 17, 13, 65, 80, 84, 43, 26, 94, 72, 91, 25, 28, 8, 47, 29, 64, 86, 15, 35, 82, 37, 59, 34, 41, 5, 68, 60, 12, 89, 42, 98, 74, 81, 63, 54, 10, 62, 33, 66, 0, 96, 70, 87, 20, 48, 32, 23, 14, 21, 31, 30, 11, 90, 44, 85]
[21, 40, 96, 28, 72, 69, 45, 55, 38, 88, 83, 57, 68, 22, 86, 56, 4, 13, 92, 67, 98, 84, 30, 63, 78, 9, 37, 99, 26, 65, 87, 35, 48, 1, 71, 19, 12, 41, 47, 0, 16, 10, 5, 49, 44, 25, 42, 82, 33, 60, 32, 27, 24, 95, 52, 93, 53, 64, 34, 2, 76, 91, 58, 29, 3, 54, 6, 14, 61, 36, 81, 74, 97, 8, 17, 73, 51, 50, 79, 62]
[65, 58, 59, 48, 31, 9, 33, 78, 3, 82, 55, 70, 60, 77, 2, 4, 49, 50, 52, 51, 0, 89, 38, 23, 94, 93, 29, 41, 53, 74, 40, 18, 14, 34, 42, 35, 76, 30, 66, 80, 20, 26, 63, 97, 27, 43, 36, 88, 1, 5, 16, 95, 86, 32, 57, 79, 39, 37, 64, 68, 15, 96, 62, 90, 69, 87, 92, 21, 72, 22, 85, 98, 45, 99, 44, 71, 12, 46, 19, 6]
[89, 27, 86, 99, 20, 62, 38, 18, 52, 9, 63, 16, 92, 1, 76, 56, 34, 12, 24, 69, 80, 95, 4, 81, 7, 3, 64, 13, 98, 75, 66, 33, 36, 43, 70, 45, 6, 35, 79, 77, 8, 94, 74, 73, 53, 15, 29, 65, 83, 91, 82, 54, 55, 19, 25, 49, 44, 96, 58, 14, 17, 48, 50, 42, 10, 22, 51, 2, 67, 11, 57, 30, 60, 61, 41, 88, 87, 28, 21, 31]
[89, 18, 87, 90, 3, 91, 69, 27, 34, 77, 83, 48, 51, 45, 47, 75, 12, 72, 68, 98, 74, 13, 70, 65, 58, 44, 52, 71, 79, 2, 31, 5, 22, 53, 49, 63, 62, 50, 14, 60, 57, 61, 81, 59, 8, 11, 37, 26, 64, 67, 84, 24, 97, 15, 86, 19, 28, 99, 46, 85, 25, 40, 78, 4, 94, 36, 35, 1, 41, 21, 56, 9, 29, 43, 39, 95, 32, 6, 66, 55]
[70, 76, 93, 28, 31, 77, 30, 64, 81, 65, 62, 21, 84, 61, 37, 33, 38, 50, 15, 48, 0, 88, 67, 1, 98, 56, 69, 80, 42, 60, 29, 66, 2, 86, 3, 57, 90, 36, 7, 39, 4, 35, 24, 22, 18, 23, 12, 75, 25, 41, 72, 78, 51, 14, 53, 16, 49, 32, 47, 91, 43, 17, 9, 82, 54, 95, 11, 55, 19, 45, 89, 83, 71, 27, 99, 10, 13, 20, 73, 44]
[73, 24, 60, 75, 72, 83, 32, 61, 97, 85, 47, 22, 49, 46, 18, 63, 54, 65, 78, 94, 99, 27, 36, 43, 13, 33, 71, 14, 56, 15, 53, 5, 48, 80, 16, 57, 20, 82, 67, 95, 42, 79, 29, 66, 35, 98, 12, 45, 81, 90, 87, 96, 10, 38, 88, 25, 2, 64, 31, 17, 1, 39, 26, 7, 68, 4, 34, 9, 70, 52, 89, 37, 58, 6, 44, 51, 40, 30, 41, 93]
[50, 93, 36, 43, 84, 68, 2, 89, 37, 97, 71, 60, 77, 76, 65, 5, 0, 35, 31, 98, 25, 47, 74, 81, 82, 94, 85, 49, 1, 11, 83, 28, 34, 12, 40, 4, 80, 62, 23, 27, 20, 55, 53, 99, 46, 92, 66, 32, 64, 57, 58, 19, 26, 17, 67, 51, 95, 48, 38, 63, 16, 69, 86, 6, 22, 8, 72, 15, 18, 13, 39, 33, 59, 56, 29, 3, 21, 42, 41, 75]
[87, 79, 61, 66, 94, 17, 34, 97, 65, 47, 70, 8, 92, 33, 44, 75, 85, 46, 86, 83, 23, 74, 35, 11, 1, 98, 9, 53, 15, 18, 52, 19, 36, 80, 14, 64, 60, 89, 49, 24, 5, 25, 68, 32, 3, 10, 2, 45, 95, 88, 69, 30, 29, 72, 93, 76, 58, 63, 51, 20, 59, 40, 50, 43, 71, 77, 78, 48, 26, 13, 56, 12, 4, 67, 82, 99, 16, 6, 73, 39]
[35, 2, 61, 94, 80, 57, 0, 92, 45, 14, 60, 20, 63, 86, 52, 72, 36, 62, 78, 31, 26, 82, 30, 81, 3, 25, 28, 56, 64, 74, 29, 48, 87, 38, 75, 37, 99, 4, 42, 85, 68, 66, 96, 8, 23, 46, 32, 83, 16, 89, 18, 22, 27, 21, 11, 1, 88, 77, 70, 17, 41, 91, 19, 58, 24, 90, 79, 54, 15, 65, 73, 84, 69, 71, 55, 43, 93, 13, 33, 12]
[47, 39, 97, 99, 44, 64, 40, 3, 94, 83, 23, 82, 50, 63, 43, 62, 18, 12, 33, 68, 17, 92, 22, 85, 20, 27, 96, 19, 24, 78, 75, 77, 34, 49, 32, 30, 10, 57, 87, 31, 74, 54, 41, 35, 6, 61, 89, 29, 28, 95, 9, 21, 80, 98, 84, 76, 46, 65, 67, 52, 81, 7, 15, 2, 14, 86, 69, 36, 93, 90, 71, 72, 42, 38, 59, 73, 13, 26, 56, 55]
